<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20020910;000000;119.98000
USDJPY;D;20020911;000000;120.40000
USDJPY;D;20020912;000000;120.03000
USDJPY;D;20020913;000000;121.75000
USDJPY;D;20020914;000000;121.77000
USDJPY;D;20020915;000000;121.77000
USDJPY;D;20020916;000000;122.33000
USDJPY;D;20020917;000000;122.60000
USDJPY;D;20020918;000000;121.57000
USDJPY;D;20020919;000000;121.31000
USDJPY;D;20020920;000000;123.26000
USDJPY;D;20020923;000000;123.95000
USDJPY;D;20020924;000000;123.33000
USDJPY;D;20020925;000000;122.75000
USDJPY;D;20020926;000000;122.11000
USDJPY;D;20020927;000000;122.74000
USDJPY;D;20020928;000000;122.57000
USDJPY;D;20020930;000000;121.69000
USDJPY;D;20021001;000000;122.60000
USDJPY;D;20021002;000000;122.85000
USDJPY;D;20021003;000000;123.00000
USDJPY;D;20021004;000000;123.08000
USDJPY;D;20021007;000000;124.32000
USDJPY;D;20021008;000000;124.36000
USDJPY;D;20021009;000000;123.27000
USDJPY;D;20021010;000000;123.43000
USDJPY;D;20021011;000000;124.05000
USDJPY;D;20021014;000000;124.26000
USDJPY;D;20021015;000000;124.72000
USDJPY;D;20021016;000000;124.33000
USDJPY;D;20021017;000000;124.90000
USDJPY;D;20021018;000000;125.52000
USDJPY;D;20021021;000000;124.66000
USDJPY;D;20021022;000000;125.14000
USDJPY;D;20021023;000000;124.58000
USDJPY;D;20021024;000000;124.45000
USDJPY;D;20021025;000000;124.23000
USDJPY;D;20021026;000000;124.34000
USDJPY;D;20021027;000000;124.34000
USDJPY;D;20021028;000000;123.89000
USDJPY;D;20021029;000000;122.90000
USDJPY;D;20021030;000000;122.94000
USDJPY;D;20021031;000000;122.62000
USDJPY;D;20021101;000000;122.19000
USDJPY;D;20021102;000000;122.31000
USDJPY;D;20021103;000000;122.31000
USDJPY;D;20021104;000000;122.35000
USDJPY;D;20021105;000000;121.78000
USDJPY;D;20021106;000000;121.86000
USDJPY;D;20021107;000000;121.86000
USDJPY;D;20021110;000000;119.84000
USDJPY;D;20021111;000000;119.34000
USDJPY;D;20021112;000000;119.59000
USDJPY;D;20021113;000000;120.17000
USDJPY;D;20021114;000000;120.41000
USDJPY;D;20021115;000000;120.53000
USDJPY;D;20021116;000000;120.48000
