<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110207;190000;12177.90000;12188.76000;12171.81000;12179.23000;0
DJIA;60;20110207;200000;12179.45000;12179.45000;12167.15000;12167.95000;0
DJIA;60;20110207;210000;12168.10000;12179.23000;12168.10000;12177.79000;0
DJIA;60;20110207;220000;12177.86000;12179.23000;12154.93000;12162.31000;0
DJIA;60;20110207;230000;12162.54000;12172.79000;12148.50000;12159.96000;0
DJIA;60;20110208;000000;12160.19000;12161.55000;12160.19000;12161.40000;0
DJIA;60;20110208;170000;12152.62000;12176.88000;12150.05000;12175.37000;0
DJIA;60;20110208;180000;12175.74000;12190.84000;12172.26000;12182.93000;0
DJIA;60;20110208;190000;12183.69000;12201.78000;12172.19000;12197.31000;0
DJIA;60;20110208;200000;12197.24000;12209.69000;12191.03000;12202.31000;0
DJIA;60;20110208;210000;12202.01000;12205.07000;12191.49000;12200.72000;0
DJIA;60;20110208;220000;12200.57000;12224.67000;12200.34000;12214.95000;0
DJIA;60;20110208;230000;12215.02000;12238.79000;12212.98000;12233.00000;0
DJIA;60;20110209;000000;12233.45000;12233.91000;12233.08000;12233.15000;0
DJIA;60;20110209;170000;12229.29000;12235.61000;12214.46000;12235.53000;0
DJIA;60;20110209;180000;12235.69000;12254.23000;12224.71000;12241.59000;0
DJIA;60;20110209;190000;12241.51000;12245.45000;12207.27000;12207.27000;0
DJIA;60;20110209;200000;12207.12000;12227.66000;12203.03000;12213.28000;0
DJIA;60;20110209;210000;12213.17000;12234.55000;12213.17000;12217.18000;0
DJIA;60;20110209;220000;12215.82000;12215.82000;12188.19000;12196.52000;0
DJIA;60;20110209;230000;12196.44000;12240.04000;12196.33000;12239.81000;0
DJIA;60;20110210;000000;12239.96000;12240.04000;12239.74000;12239.89000;0
DJIA;60;20110210;170000;12239.66000;12239.66000;12158.07000;12170.75000;0
DJIA;60;20110210;180000;12172.00000;12216.69000;12156.94000;12198.07000;0
DJIA;60;20110210;190000;12197.96000;12228.95000;12194.55000;12215.78000;0
DJIA;60;20110210;200000;12215.55000;12219.60000;12202.42000;12202.42000;0
DJIA;60;20110210;210000;12202.20000;12210.03000;12195.35000;12200.99000;0
DJIA;60;20110210;220000;12201.25000;12221.00000;12196.48000;12202.42000;0
DJIA;60;20110210;230000;12201.74000;12237.96000;12196.60000;12228.08000;0
DJIA;60;20110211;000000;12227.17000;12229.37000;12227.17000;12229.29000;0
DJIA;60;20110211;170000;12229.67000;12229.67000;12180.48000;12209.58000;0
DJIA;60;20110211;180000;12210.52000;12255.97000;12207.91000;12254.80000;0
DJIA;60;20110211;190000;12254.61000;12278.26000;12239.02000;12245.60000;0
DJIA;60;20110211;200000;12245.07000;12251.50000;12224.64000;12246.66000;0
DJIA;60;20110211;210000;12246.43000;12257.52000;12245.60000;12256.73000;0
DJIA;60;20110211;220000;12256.65000;12284.35000;12255.93000;12276.25000;0
DJIA;60;20110211;230000;12276.48000;12285.94000;12263.27000;12275.00000;0
DJIA;60;20110212;000000;12275.76000;12275.76000;12273.26000;12273.26000;0
DJIA;60;20110214;170000;12267.97000;12270.31000;12239.21000;12247.49000;0
DJIA;60;20110214;180000;12246.81000;12261.30000;12236.48000;12242.35000;0
DJIA;60;20110214;190000;12242.80000;12257.37000;12235.91000;12255.33000;0
DJIA;60;20110214;200000;12255.25000;12271.26000;12254.38000;12266.00000;0
DJIA;60;20110214;210000;12266.11000;12267.02000;12256.35000;12261.15000;0
DJIA;60;20110214;220000;12260.96000;12273.57000;12256.99000;12272.01000;0
DJIA;60;20110214;230000;12272.32000;12276.21000;12260.74000;12268.42000;0
DJIA;60;20110215;000000;12267.51000;12268.34000;12267.51000;12268.19000;0
DJIA;60;20110215;170000;12266.68000;12267.66000;12212.19000;12230.62000;0
DJIA;60;20110215;180000;12230.39000;12236.03000;12199.28000;12213.51000;0
DJIA;60;20110215;190000;12213.62000;12237.88000;12213.62000;12220.21000;0
DJIA;60;20110215;200000;12220.13000;12235.31000;12214.61000;12229.52000;0
DJIA;60;20110215;210000;12229.59000;12235.12000;12218.05000;12220.66000;0
DJIA;60;20110215;220000;12220.74000;12221.19000;12193.27000;12212.38000;0
DJIA;60;20110215;230000;12212.30000;12226.87000;12203.33000;12225.81000;0
DJIA;60;20110216;000000;12224.75000;12226.64000;12224.07000;12226.64000;0
DJIA;60;20110216;170000;12219.79000;12276.03000;12219.79000;12275.61000;0
DJIA;60;20110216;180000;12275.31000;12303.16000;12261.65000;12300.32000;0
DJIA;60;20110216;190000;12300.02000;12301.30000;12271.22000;12279.39000;0
DJIA;60;20110216;200000;12279.62000;12281.70000;12234.51000;12268.72000;0
DJIA;60;20110216;210000;12268.42000;12285.67000;12260.40000;12285.67000;0
DJIA;60;20110216;220000;12285.75000;12291.31000;12265.39000;12285.22000;0
DJIA;60;20110216;230000;12285.15000;12295.44000;12275.57000;12286.28000;0
DJIA;60;20110217;000000;12286.58000;12288.32000;12286.58000;12288.17000;0
DJIA;60;20110217;170000;12286.81000;12287.87000;12253.24000;12258.66000;0
DJIA;60;20110217;180000;12265.92000;12286.36000;12259.49000;12280.19000;0
DJIA;60;20110217;190000;12280.57000;12302.40000;12277.88000;12295.82000;0
DJIA;60;20110217;200000;12295.63000;12301.87000;12291.65000;12292.03000;0
DJIA;60;20110217;210000;12292.18000;12320.53000;12292.11000;12316.59000;0
DJIA;60;20110217;220000;12316.63000;12324.54000;12311.94000;12320.34000;0
DJIA;60;20110217;230000;12320.26000;12331.31000;12314.62000;12317.84000;0
DJIA;60;20110218;000000;12315.95000;12318.14000;12315.95000;12318.14000;0
DJIA;60;20110218;170000;12319.35000;12338.27000;12303.23000;12337.71000;0
DJIA;60;20110218;180000;12336.84000;12347.43000;12325.67000;12340.05000;0
DJIA;60;20110218;190000;12340.28000;12363.40000;12339.07000;12360.87000;0
DJIA;60;20110218;200000;12360.98000;12375.02000;12359.77000;12370.33000;0
DJIA;60;20110218;210000;12370.55000;12373.92000;12355.64000;12368.47000;0
DJIA;60;20110218;220000;12368.40000;12374.68000;12346.86000;12369.46000;0
DJIA;60;20110218;230000;12370.82000;12391.29000;12359.50000;12390.27000;0
DJIA;60;20110219;000000;12390.42000;12391.25000;12390.42000;12391.25000;0
DJIA;60;20110222;170000;12389.82000;12389.82000;12270.24000;12337.67000;0
DJIA;60;20110222;180000;12341.45000;12354.66000;12320.38000;12326.96000;0
DJIA;60;20110222;190000;12329.08000;12330.14000;12274.51000;12280.45000;0
DJIA;60;20110222;200000;12280.91000;12284.69000;12222.93000;12231.03000;0
DJIA;60;20110222;210000;12231.03000;12242.16000;12198.30000;12216.46000;0
DJIA;60;20110222;220000;12216.39000;12235.23000;12203.29000;12215.86000;0
DJIA;60;20110222;230000;12216.08000;12223.80000;12176.31000;12213.47000;0
DJIA;60;20110223;000000;12213.02000;12213.02000;12212.26000;12212.79000;0
DJIA;60;20110223;170000;12211.81000;12221.12000;12169.80000;12173.81000;0
DJIA;60;20110223;180000;12174.27000;12200.61000;12153.91000;12185.13000;0
DJIA;60;20110223;190000;12185.51000;12195.73000;12141.88000;12142.44000;0
DJIA;60;20110223;200000;12146.30000;12146.38000;12094.50000;12106.27000;0
DJIA;60;20110223;210000;12106.34000;12113.95000;12063.43000;12103.35000;0
DJIA;60;20110223;220000;12103.28000;12127.72000;12097.11000;12127.72000;0
DJIA;60;20110223;230000;12127.76000;12147.82000;12100.52000;12111.00000;0
DJIA;60;20110224;000000;12108.50000;12108.58000;12105.78000;12105.78000;0
DJIA;60;20110224;170000;12105.55000;12127.50000;12074.52000;12115.20000;0
DJIA;60;20110224;180000;12114.71000;12129.62000;12073.12000;12081.22000;0
DJIA;60;20110224;190000;12081.14000;12084.74000;12033.54000;12046.74000;0
DJIA;60;20110224;200000;12044.17000;12051.06000;12015.41000;12047.35000;0
DJIA;60;20110224;210000;12047.20000;12053.93000;11983.17000;11996.64000;0
DJIA;60;20110224;220000;11996.87000;12074.93000;11996.64000;12061.58000;0
DJIA;60;20110224;230000;12058.36000;12102.14000;12047.92000;12067.18000;0
DJIA;60;20110225;000000;12067.78000;12068.73000;12067.37000;12068.50000;0
DJIA;60;20110225;170000;12063.62000;12120.00000;12062.86000;12117.51000;0
DJIA;60;20110225;180000;12116.86000;12139.72000;12115.61000;12133.55000;0
DJIA;60;20110225;190000;12133.93000;12135.41000;12095.29000;12110.20000;0
DJIA;60;20110225;200000;12109.14000;12129.09000;12106.08000;12128.97000;0
DJIA;60;20110225;210000;12128.75000;12151.03000;12125.07000;12136.31000;0
DJIA;60;20110225;220000;12136.39000;12150.35000;12129.31000;12137.83000;0
